model,input_tokens,generated_tokens,total_tokens,workload_type,workload_ratio,prompt_tps,generation_tps,load_time_s,total_time_s,on_device_energy_J,on_device_power_W,cloud_energy_J,cloud_power_W
tinyllama:latest,512,100,612,prefill,0.837,576.29,53.19,0.846,3.673,34.76,7.92,5509.08,1500.0
tinyllama:latest,512,100,612,prefill,0.837,9717.63,53.69,0.019,1.939,13.47,6.27,2908.566,1500.0
tinyllama:latest,512,100,612,prefill,0.837,8949.32,53.32,0.019,1.956,11.89,5.62,2933.867,1500.0
tinyllama:latest,1024,100,1124,prefill,0.911,1233.12,44.52,0.019,3.125,12.82,3.01,4687.399,1500.0
tinyllama:latest,1024,100,1124,prefill,0.911,15568.63,45.37,0.019,2.292,16.14,3.8,3437.681,1500.0
tinyllama:latest,1024,100,1124,prefill,0.911,14730.46,47.29,0.015,2.202,13.6,3.21,3302.738,1500.0
tinyllama:latest,1536,100,1636,prefill,0.939,1648.94,38.39,0.017,3.574,25.95,6.11,5361.623,1500.0
tinyllama:latest,1536,100,1636,prefill,0.939,23362.21,38.6,0.019,2.678,12.58,2.95,4016.504,1500.0
tinyllama:latest,1536,100,1636,prefill,0.939,23248.15,38.57,0.018,2.678,12.61,2.97,4017.398,1500.0
tinyllama:latest,2048,100,2148,prefill,0.953,611.65,34.56,0.017,6.259,48.56,7.61,9389.135,1500.0
tinyllama:latest,2048,100,2148,prefill,0.953,611.58,34.59,0.02,6.26,51.82,8.08,9390.386,1500.0
tinyllama:latest,2048,100,2148,prefill,0.953,611.28,34.58,0.025,6.268,53.13,8.27,9401.938,1500.0
phi:latest,512,100,612,prefill,0.837,148.86,24.7,1.603,9.435,47.43,4.36,14153.155,1500.0
phi:latest,512,72,584,prefill,0.877,3502.07,24.8,0.021,3.086,12.86,2.98,4628.47,1500.0
phi:latest,512,100,612,prefill,0.837,4311.27,24.59,0.019,4.219,25.53,5.96,6328.291,1500.0
phi:latest,1024,100,1124,prefill,0.911,241.66,21.15,0.023,9.275,66.14,6.15,13912.443,1500.0
phi:latest,1024,100,1124,prefill,0.911,4859.14,21.27,0.021,4.949,26.87,4.15,7423.066,1500.0
phi:latest,1024,84,1108,prefill,0.924,9904.44,21.3,0.02,4.075,26.31,6.02,6112.008,1500.0
phi:latest,1536,78,1614,prefill,0.952,275.16,18.76,0.023,10.099,86.38,8.02,15148.305,1500.0
phi:latest,1536,100,1636,prefill,0.939,14889.95,18.69,0.024,5.484,39.52,6.12,8226.684,1500.0
phi:latest,1536,100,1636,prefill,0.939,8454.72,18.73,0.025,5.556,41.63,6.42,8334.7,1500.0
phi:latest,2048,100,2148,prefill,0.953,107.71,17.21,0.02,24.845,214.62,8.3,37267.854,1500.0
phi:latest,2048,7,2055,prefill,0.997,107.2,18.21,0.022,19.512,176.87,8.2,29268.005,1500.0
phi:latest,2048,70,2118,prefill,0.967,107.37,17.31,0.024,23.145,223.2,9.32,34717.404,1500.0
gemma:2b,512,98,610,prefill,0.839,368.6,30.29,2.191,6.879,38.65,4.39,10318.789,1500.0
gemma:2b,512,48,560,prefill,0.914,5758.21,30.94,0.038,1.683,12.74,5.99,2524.053,1500.0
gemma:2b,512,67,579,prefill,0.884,1813.63,30.03,0.04,2.566,17.79,4.08,3848.471,1500.0
gemma:2b,1024,76,1100,prefill,0.931,705.06,29.42,0.041,4.11,34.88,8.09,6164.686,1500.0
gemma:2b,1024,100,1124,prefill,0.911,12502.01,29.5,0.039,3.512,25.4,5.91,5268.717,1500.0
gemma:2b,1024,100,1124,prefill,0.911,12630.52,29.4,0.038,3.522,25.11,5.82,5283.575,1500.0
gemma:2b,1536,72,1608,prefill,0.955,1088.08,28.67,0.038,3.982,33.71,7.88,5973.498,1500.0
gemma:2b,1536,69,1605,prefill,0.957,17711.44,28.92,0.039,2.515,18.33,4.15,3773.019,1500.0
gemma:2b,1536,72,1608,prefill,0.955,9618.85,28.77,0.038,2.704,13.2,3.0,4056.024,1500.0
gemma:2b,2048,100,2148,prefill,0.953,394.55,27.71,0.036,8.838,68.19,6.31,13257.051,1500.0
gemma:2b,2048,100,2148,prefill,0.953,396.21,27.78,0.039,8.808,69.52,6.47,13212.363,1500.0
gemma:2b,2048,100,2148,prefill,0.953,395.69,27.98,0.039,8.79,75.65,6.9,13184.663,1500.0
mistral:latest,512,100,612,prefill,0.837,59.17,12.63,3.388,20.047,124.68,5.65,30071.213,1500.0
mistral:latest,512,100,612,prefill,0.837,556.07,12.5,0.027,8.965,65.87,5.91,13447.25,1500.0
mistral:latest,512,100,612,prefill,0.837,958.42,12.65,0.026,8.479,63.37,7.16,12718.597,1500.0
